"","department_id","number_of_orders","number_of_first_orders","percentage"
"13414",7,7501,0,0
"13415",7,20,0,0
"13416",7,21,0,0
"13417",7,39,0,0
"13418",7,9,0,0
"13419",7,93,0,0
"13420",7,19,0,0
"13421",7,48,0,0
"13422",7,948,0,0
"13423",7,130,0,0
"13424",7,14,0,0
"13425",7,107,0,0
"13426",7,41,0,0
"13427",7,514,0,0
"13428",7,65,0,0
"13429",7,8,0,0
"13430",7,736,0,0
"13431",7,9733,0,0
"13432",7,287,0,0
"13433",7,118,0,0
"13434",7,151,0,0
"13435",7,130,0,0
"13436",7,123,0,0
"13437",7,4,0,0
"13438",7,264,0,0
"13439",7,30,0,0
"13440",7,35,0,0
"13441",7,30,0,0
"13442",7,257,0,0
"13443",7,275,0,0
"13444",7,1009,0,0
"13445",7,402,0,0
"13446",7,9,0,0
"13447",7,538,0,0
"13448",7,456,0,0
"13449",7,714,0,0
"13450",7,116,0,0
"13451",7,17,0,0
"13452",7,4,0,0
"13453",7,1038,0,0
"13454",7,24,0,0
"13455",7,112,0,0
"13456",7,14,0,0
"13457",7,8,0,0
"13458",7,114,0,0
"13459",7,76,0,0
"13460",7,342,0,0
"13461",7,43,0,0
"13462",7,4317,0,0
"13463",7,116,0,0
"13464",7,48,0,0
"13465",7,2882,0,0
"13466",7,21,0,0
"13467",7,13,0,0
"13468",7,65,0,0
"13469",7,109,0,0
"13470",7,19,0,0
"13471",7,10,0,0
"13472",7,13,0,0
"13473",7,21,0,0
"13474",7,88,0,0
"13475",7,15,0,0
"13476",7,53,0,0
"13477",7,270,0,0
"13478",7,638,0,0
"13479",7,21,0,0
"13480",7,447,0,0
"13481",7,111,0,0
"13482",7,12,0,0
"13483",7,696,0,0
"13484",7,128,0,0
"13485",7,450,0,0
"13486",7,315,0,0
"13487",7,58,0,0
"13488",7,1574,0,0
"13489",7,174,0,0
"13490",7,661,0,0
"13491",7,55,0,0
"13492",7,420,0,0
"13493",7,21,0,0
"13494",7,166,0,0
"13495",7,11,0,0
"13496",7,62,0,0
"13497",7,20,0,0
"13498",7,1061,0,0
"13499",7,15,0,0
"13500",7,22,0,0
"13501",7,30,0,0
"13502",7,5134,0,0
"13503",7,470,0,0
"13504",7,8,0,0
"13505",7,281,0,0
"13506",7,52,0,0
"13507",7,11237,0,0
"13508",7,113,0,0
"13509",7,76,0,0
"13510",7,7,0,0
"13511",7,22,0,0
"13512",7,74,0,0
"13513",7,121,0,0
"13514",7,348,0,0
"13515",7,4,0,0
"13516",7,259,0,0
"13517",7,2,0,0
"13518",7,67,0,0
"13519",7,410,0,0
"13520",7,4,0,0
"13521",7,45,0,0
"13522",7,166,0,0
"13523",7,34,0,0
"13524",7,41,0,0
"13525",7,94,0,0
"13526",7,14,0,0
"13527",7,62,0,0
"13528",7,21,0,0
"13529",7,7,0,0
"13530",7,86,0,0
"13531",7,908,0,0
"13532",7,66,0,0
"13533",7,8,0,0
"13534",7,38,0,0
"13535",7,7,0,0
"13536",7,15,0,0
"13537",7,958,0,0
"13538",7,2708,0,0
"13539",7,157,0,0
"13540",7,126,0,0
"13541",7,2717,0,0
"13542",7,219,0,0
"13543",7,120,0,0
"13544",7,16,0,0
"13545",7,307,0,0
"13546",7,80,0,0
"13547",7,188,0,0
"13548",7,21,0,0
"13549",7,74,0,0
"13550",7,12,0,0
"13551",7,375,0,0
"13552",7,128,0,0
"13553",7,2446,0,0
"13554",7,472,0,0
"13555",7,69,0,0
"13556",7,359,0,0
"13557",7,9,0,0
"13558",7,27,0,0
"13559",7,273,0,0
"13560",7,665,0,0
"13561",7,522,0,0
"13562",7,44,0,0
"13563",7,20,0,0
"13564",7,9,0,0
"13565",7,329,0,0
"13566",7,429,0,0
"13567",7,45,0,0
"13568",7,2201,0,0
"13569",7,27,0,0
"13570",7,1828,0,0
"13571",7,411,0,0
"13572",7,244,0,0
"13573",7,36,0,0
"13574",7,28,0,0
"13575",7,1439,0,0
"13576",7,1998,0,0
"13577",7,11,0,0
"13578",7,9,0,0
"13579",7,55,0,0
"13580",7,889,0,0
"13581",7,67,0,0
"13582",7,7642,0,0
"13583",7,5403,0,0
"13584",7,244,0,0
"13585",7,52,0,0
"13586",7,23,0,0
"13587",7,43,0,0
"13588",7,74,0,0
"13589",7,66,0,0
"13590",7,1718,0,0
"13591",7,740,0,0
"13592",7,87,0,0
"13593",7,58,0,0
"13594",7,23,0,0
"13595",7,72,0,0
"13596",7,1084,0,0
"13597",7,54,0,0
"13598",7,109,0,0
"13599",7,26,0,0
"13600",7,2,0,0
"13601",7,78,0,0
"13602",7,45,0,0
"13603",7,71,0,0
"13604",7,375,0,0
"13605",7,2,0,0
"13606",7,19,0,0
"13607",7,126,0,0
"13608",7,5,0,0
"13609",7,6461,0,0
"13610",7,4,0,0
"13611",7,19692,0,0
"13612",7,39,0,0
"13613",7,59,0,0
"13614",7,122,0,0
"13615",7,568,0,0
"13616",7,290,0,0
"13617",7,102,0,0
"13618",7,872,0,0
"13619",7,87,0,0
"13620",7,1939,0,0
"13621",7,301,0,0
"13622",7,42,0,0
"13623",7,17,0,0
"13624",7,19,0,0
"13625",7,9,0,0
"13626",7,12,0,0
"13627",7,13,0,0
"13628",7,4,0,0
"13629",7,26,0,0
"13630",7,36,0,0
"13631",7,581,0,0
"13632",7,201,0,0
"13633",7,2439,0,0
"13634",7,136,0,0
"13635",7,333,0,0
"13636",7,950,0,0
"13637",7,431,0,0
"13638",7,2762,0,0
"13639",7,20,0,0
"13640",7,342,0,0
"13641",7,128,0,0
"13642",7,66,0,0
"13643",7,1199,0,0
"13644",7,37,0,0
"13645",7,126,0,0
"13646",7,2399,0,0
"13647",7,21,0,0
"13648",7,11,0,0
"13649",7,1348,0,0
"13650",7,1265,0,0
"13651",7,35,0,0
"13652",7,159,0,0
"13653",7,327,0,0
"13654",7,494,0,0
"13655",7,46,0,0
"13656",7,12,0,0
"13657",7,106,0,0
"13658",7,305,0,0
"13659",7,73,0,0
"13660",7,29,0,0
"13661",7,3,0,0
"13662",7,18,0,0
"13663",7,7,0,0
"13664",7,98,0,0
"13665",7,189,0,0
"13666",7,83,0,0
"13667",7,4,0,0
"13668",7,29,0,0
"13669",7,29,0,0
"13670",7,163,0,0
"13671",7,45,0,0
"13672",7,33,0,0
"13673",7,958,0,0
"13674",7,18,0,0
"13675",7,106,0,0
"13676",7,34,0,0
"13677",7,905,0,0
"13678",7,94,0,0
"13679",7,163,0,0
"13680",7,107,0,0
"13681",7,825,0,0
"13682",7,495,0,0
"13683",7,8,0,0
"13684",7,7,0,0
"13685",7,100,0,0
"13686",7,393,0,0
"13687",7,213,0,0
"13688",7,7,0,0
"13689",7,2107,0,0
"13690",7,39,0,0
"13691",7,558,0,0
"13692",7,21,0,0
"13693",7,86,0,0
"13694",7,249,0,0
"13695",7,611,0,0
"13696",7,56,0,0
"13697",7,358,0,0
"13698",7,363,0,0
"13699",7,443,0,0
"13700",7,18,0,0
"13701",7,29,0,0
"13702",7,10,0,0
"13703",7,21,0,0
"13704",7,4,0,0
"13705",7,5,0,0
"13706",7,411,0,0
"13707",7,1506,0,0
"13708",7,23,0,0
"13709",7,21,0,0
"13710",7,34,0,0
"13711",7,19,0,0
"13712",7,34,0,0
"13713",7,319,0,0
"13714",7,448,0,0
"13715",7,21,0,0
"13716",7,154,0,0
"13717",7,1209,0,0
"13718",7,562,0,0
"13719",7,12,0,0
"13720",7,20,0,0
"13721",7,4,0,0
"13722",7,14,0,0
"13723",7,7,0,0
"13724",7,177,0,0
"13725",7,4053,0,0
"13726",7,3,0,0
"13727",7,1636,0,0
"13728",7,489,0,0
"13729",7,27,0,0
"13730",7,885,0,0
"13731",7,91,0,0
"13732",7,6,0,0
"13733",7,64,0,0
"13734",7,20,0,0
"13735",7,18,0,0
"13736",7,1679,0,0
"13737",7,513,0,0
"13738",7,228,0,0
"13739",7,5,0,0
"13740",7,39,0,0
"13741",7,8,0,0
"13742",7,17,0,0
"13743",7,73,0,0
"13744",7,11908,0,0
"13745",7,4978,0,0
"13746",7,10,0,0
"13747",7,866,0,0
"13748",7,18,0,0
"13749",7,140,0,0
"13750",7,119,0,0
"13751",7,117,0,0
"13752",7,47,0,0
"13753",7,600,0,0
"13754",7,355,0,0
"13755",7,15,0,0
"13756",7,134,0,0
"13757",7,733,0,0
"13758",7,26,0,0
"13759",7,55,0,0
"13760",7,198,0,0
"13761",7,995,0,0
"13762",7,61,0,0
"13763",7,67,0,0
"13764",7,73,0,0
"13765",7,3633,0,0
"13766",7,17,0,0
"13767",7,163,0,0
"13768",7,1197,0,0
"13769",7,74,0,0
"13770",7,139,0,0
"13771",7,16,0,0
"13772",7,90,0,0
"13773",7,291,0,0
"13774",7,359,0,0
"13775",7,13,0,0
"13776",7,13,0,0
"13777",7,7,0,0
"13778",7,192,0,0
"13779",7,47,0,0
"13780",7,18161,0,0
"13781",7,9,0,0
"13782",7,41,0,0
"13783",7,85,0,0
"13784",7,57,0,0
"13785",7,118,0,0
"13786",7,9,0,0
"13787",7,401,0,0
"13788",7,40,0,0
"13789",7,28,0,0
"13790",7,6,0,0
"13791",7,60,0,0
"13792",7,14,0,0
"13793",7,3,0,0
"13794",7,78,0,0
"13795",7,26,0,0
"13796",7,67,0,0
"13797",7,118,0,0
"13798",7,78,0,0
"13799",7,1452,0,0
"13800",7,369,0,0
"13801",7,2,0,0
"13802",7,11,0,0
"13803",7,3,0,0
"13804",7,238,0,0
"13805",7,1241,0,0
"13806",7,74,0,0
"13807",7,974,0,0
"13808",7,17,0,0
"13809",7,16,0,0
"13810",7,58,0,0
"13811",7,33,0,0
"13812",7,860,0,0
"13813",7,37,0,0
"13814",7,13,0,0
"13815",7,962,0,0
"13816",7,463,0,0
"13817",7,19,0,0
"13818",7,5,0,0
"13819",7,15,0,0
"13820",7,499,0,0
"13821",7,6720,0,0
"13822",7,42,0,0
"13823",7,62,0,0
"13824",7,142,0,0
"13825",7,201,0,0
"13826",7,6,0,0
"13827",7,51,0,0
"13828",7,2373,0,0
"13829",7,1132,0,0
"13830",7,90,0,0
"13831",7,1985,0,0
"13832",7,22,0,0
"13833",7,54,0,0
"13834",7,105,0,0
"13835",7,35,0,0
"13836",7,32,0,0
"13837",7,241,0,0
"13838",7,235,0,0
"13839",7,290,0,0
"13840",7,19,0,0
"13841",7,65,0,0
"13842",7,103,0,0
"13843",7,7,0,0
"13844",7,954,0,0
"13845",7,51,0,0
"13846",7,1257,0,0
"13847",7,5315,0,0
"13848",7,9,0,0
"13849",7,48,0,0
"13850",7,1867,0,0
"13851",7,155,0,0
"13852",7,6,0,0
"13853",7,564,0,0
"13854",7,3580,0,0
"13855",7,26,0,0
"13856",7,4735,0,0
"13857",7,157,0,0
"13858",7,6,0,0
"13859",7,108,0,0
"13860",7,1320,0,0
"13861",7,6,0,0
"13862",7,17,0,0
"13863",7,425,0,0
"13864",7,27,0,0
"13865",7,60,0,0
"13866",7,8,0,0
"13867",7,1236,0,0
"13868",7,1221,0,0
"13869",7,103,0,0
"13870",7,6242,0,0
"13871",7,33,0,0
"13872",7,3,0,0
"13873",7,182,0,0
"13874",7,17,0,0
"13875",7,45,0,0
"13876",7,6257,0,0
"13877",7,12,0,0
"13878",7,39,0,0
"13879",7,4,0,0
"13880",7,48,0,0
"13881",7,25,0,0
"13882",7,217,0,0
"13883",7,18,0,0
"13884",7,198,0,0
"13885",7,100,0,0
"13886",7,65,0,0
"13887",7,98,0,0
"13888",7,5,0,0
"13889",7,147,0,0
"13890",7,392,0,0
"13891",7,206,0,0
"13892",7,75886,0,0
"13893",7,251,0,0
"13894",7,71,0,0
"13895",7,54,0,0
"13896",7,24,0,0
"13897",7,18,0,0
"13898",7,188,0,0
"13899",7,4,0,0
"13900",7,9,0,0
"13901",7,102,0,0
"13902",7,408,0,0
"13903",7,127,0,0
"13904",7,46,0,0
"13905",7,10,0,0
"13906",7,22,0,0
"13907",7,663,0,0
"13908",7,37,0,0
"13909",7,79,0,0
"13910",7,9,0,0
"13911",7,76,0,0
"13912",7,19,0,0
"13913",7,16,0,0
"13914",7,40,0,0
"13915",7,55,0,0
"13916",7,45,0,0
"13917",7,7,0,0
"13918",7,37,0,0
"13919",7,150,0,0
"13920",7,42,0,0
"13921",7,246,0,0
"13922",7,89,0,0
"13923",7,1318,0,0
"13924",7,84,0,0
"13925",7,9,0,0
"13926",7,57,0,0
"13927",7,399,0,0
"13928",7,997,0,0
"13929",7,291,0,0
"13930",7,4,0,0
"13931",7,1091,0,0
"13932",7,250,0,0
"13933",7,42,0,0
"13934",7,30,0,0
"13935",7,3633,0,0
"13936",7,10,0,0
"13937",7,8,0,0
"13938",7,8,0,0
"13939",7,46,0,0
"13940",7,26,0,0
"13941",7,1142,0,0
"13942",7,12,0,0
"13943",7,11,0,0
"13944",7,545,0,0
"13945",7,6,0,0
"13946",7,34,0,0
"13947",7,30,0,0
"13948",7,10,0,0
"13949",7,733,0,0
"13950",7,89,0,0
"13951",7,4,0,0
"13952",7,28,0,0
"13953",7,107,0,0
"13954",7,13,0,0
"13955",7,47,0,0
"13956",7,44,0,0
"13957",7,125,0,0
"13958",7,75,0,0
"13959",7,169,0,0
"13960",7,15,0,0
"13961",7,3,0,0
"13962",7,10,0,0
"13963",7,45,0,0
"13964",7,20,0,0
"13965",7,73,0,0
"13966",7,23,0,0
"13967",7,113,0,0
"13968",7,1181,0,0
"13969",7,16791,0,0
"13970",7,12,0,0
"13971",7,810,0,0
"13972",7,50,0,0
"13973",7,914,0,0
"13974",7,1153,0,0
"13975",7,42,0,0
"13976",7,467,0,0
"13977",7,812,0,0
"13978",7,1181,0,0
"13979",7,10,0,0
"13980",7,31,0,0
"13981",7,7050,0,0
"13982",7,108,0,0
"13983",7,131,0,0
"13984",7,51,0,0
"13985",7,1567,0,0
"13986",7,96,0,0
"13987",7,42,0,0
"13988",7,777,0,0
"13989",7,528,0,0
"13990",7,5,0,0
"13991",7,91,0,0
"13992",7,1238,0,0
"13993",7,5351,0,0
"13994",7,397,0,0
"13995",7,86,0,0
"13996",7,10,0,0
"13997",7,65,0,0
"13998",7,11,0,0
"13999",7,65,0,0
"14000",7,1695,0,0
"14001",7,25,0,0
"14002",7,25,0,0
"14003",7,5,0,0
"14004",7,70,0,0
"14005",7,3,0,0
"14006",7,261,0,0
"14007",7,303,0,0
"14008",7,41,0,0
"14009",7,92,0,0
"14010",7,7,0,0
"14011",7,80,0,0
"14012",7,70,0,0
"14013",7,8558,0,0
"14014",7,172,0,0
"14015",7,9,0,0
"14016",7,8,0,0
"14017",7,2,0,0
"14018",7,22,0,0
"14019",7,18,0,0
"14020",7,45,0,0
"14021",7,7,0,0
"14022",7,27,0,0
"14023",7,257,0,0
"14024",7,70,0,0
"14025",7,21,0,0
"14026",7,5,0,0
"14027",7,20,0,0
"14028",7,7,0,0
"14029",7,418,0,0
"14030",7,79,0,0
"14031",7,693,0,0
"14032",7,134,0,0
"14033",7,12,0,0
"14034",7,56,0,0
"14035",7,62,0,0
"14036",7,792,0,0
"14037",7,1879,0,0
"14038",7,138,0,0
"14039",7,13,0,0
"14040",7,26,0,0
"14041",7,190,0,0
"14042",7,20,0,0
"14043",7,2030,0,0
"14044",7,12,0,0
"14045",7,339,0,0
"14046",7,20,0,0
"14047",7,121,0,0
"14048",7,272,0,0
"14049",7,17,0,0
"14050",7,180,0,0
"14051",7,35,0,0
"14052",7,62,0,0
"14053",7,746,0,0
"14054",7,26,0,0
"14055",7,23,0,0
"14056",7,17,0,0
"14057",7,0,0,NA
"14058",7,284,0,0
"14059",7,377,0,0
"14060",7,124,0,0
"14061",7,137,0,0
"14062",7,32,0,0
"14063",7,937,0,0
"14064",7,95,0,0
"14065",7,396,0,0
"14066",7,68,0,0
"14067",7,932,0,0
"14068",7,5,0,0
"14069",7,11,0,0
"14070",7,160,0,0
"14071",7,39,0,0
"14072",7,64,0,0
"14073",7,834,0,0
"14074",7,100,0,0
"14075",7,87,0,0
"14076",7,80,0,0
"14077",7,19,0,0
"14078",7,27,0,0
"14079",7,14,0,0
"14080",7,881,0,0
"14081",7,305,0,0
"14082",7,853,0,0
"14083",7,203,0,0
"14084",7,7,0,0
"14085",7,118,0,0
"14086",7,83,0,0
"14087",7,2,0,0
"14088",7,55,0,0
"14089",7,14,0,0
"14090",7,32,0,0
"14091",7,2023,0,0
"14092",7,220,0,0
"14093",7,11585,0,0
"14094",7,146,0,0
"14095",7,461,0,0
"14096",7,550,0,0
"14097",7,193,0,0
"14098",7,4,0,0
"14099",7,21,0,0
"14100",7,20,0,0
"14101",7,1489,0,0
"14102",7,209,0,0
"14103",7,644,0,0
"14104",7,2784,0,0
"14105",7,115,0,0
"14106",7,248,0,0
"14107",7,2509,0,0
"14108",7,14,0,0
"14109",7,81,0,0
"14110",7,5,0,0
"14111",7,69,0,0
"14112",7,26,0,0
"14113",7,690,0,0
"14114",7,53,0,0
"14115",7,481,0,0
"14116",7,401,0,0
"14117",7,286,0,0
"14118",7,43,0,0
"14119",7,9,0,0
"14120",7,9,0,0
"14121",7,74,0,0
"14122",7,102,0,0
"14123",7,260,0,0
"14124",7,15,0,0
"14125",7,134,0,0
"14126",7,15,0,0
"14127",7,10,0,0
"14128",7,528,0,0
"14129",7,40,0,0
"14130",7,292,0,0
"14131",7,90,0,0
"14132",7,54,0,0
"14133",7,168,0,0
"14134",7,207,0,0
"14135",7,18,0,0
"14136",7,65,0,0
"14137",7,138,0,0
"14138",7,41,0,0
"14139",7,59,0,0
"14140",7,80,0,0
"14141",7,10,0,0
"14142",7,25,0,0
"14143",7,996,0,0
"14144",7,12,0,0
"14145",7,913,0,0
"14146",7,264,0,0
"14147",7,589,0,0
"14148",7,2008,0,0
"14149",7,5746,0,0
"14150",7,43,0,0
"14151",7,3,0,0
"14152",7,67,0,0
"14153",7,237,0,0
"14154",7,2638,0,0
"14155",7,1278,0,0
"14156",7,18,0,0
"14157",7,331,0,0
"14158",7,36,0,0
"14159",7,14928,0,0
"14160",7,103,0,0
"14161",7,15,0,0
"14162",7,122,0,0
"14163",7,43,0,0
"14164",7,70,0,0
"14165",7,2665,0,0
"14166",7,268,0,0
"14167",7,11,0,0
"14168",7,58,0,0
"14169",7,7,0,0
"14170",7,178,0,0
"14171",7,4,0,0
"14172",7,49,0,0
"14173",7,87,0,0
"14174",7,48,0,0
"14175",7,111,0,0
"14176",7,313,0,0
"14177",7,189,0,0
"14178",7,61,0,0
"14179",7,6,0,0
"14180",7,143,0,0
"14181",7,36,0,0
"14182",7,3279,0,0
"14183",7,19,0,0
"14184",7,89,0,0
"14185",7,21,0,0
"14186",7,129,0,0
"14187",7,27,0,0
"14188",7,20,0,0
"14189",7,2647,0,0
"14190",7,140,0,0
"14191",7,17,0,0
"14192",7,90,0,0
"14193",7,155,0,0
"14194",7,643,0,0
"14195",7,220,0,0
"14196",7,552,0,0
"14197",7,196,0,0
"14198",7,32,0,0
"14199",7,363,0,0
"14200",7,156,0,0
"14201",7,7,0,0
"14202",7,18,0,0
"14203",7,22,0,0
"14204",7,289,0,0
"14205",7,35,0,0
"14206",7,1421,0,0
"14207",7,30,0,0
"14208",7,121,0,0
"14209",7,70,0,0
"14210",7,62,0,0
"14211",7,45,0,0
"14212",7,15,0,0
"14213",7,70,0,0
"14214",7,78,0,0
"14215",7,15,0,0
"14216",7,636,0,0
"14217",7,8910,0,0
"14218",7,9,0,0
"14219",7,12,0,0
"14220",7,191,0,0
"14221",7,13,0,0
"14222",7,250,0,0
"14223",7,1580,0,0
"14224",7,29,0,0
"14225",7,79,0,0
"14226",7,78,0,0
"14227",7,191,0,0
"14228",7,179,0,0
"14229",7,532,0,0
"14230",7,6,0,0
"14231",7,55,0,0
"14232",7,19,0,0
"14233",7,213,0,0
"14234",7,198,0,0
"14235",7,6,0,0
"14236",7,37,0,0
"14237",7,41,0,0
"14238",7,384,0,0
"14239",7,15,0,0
"14240",7,262,0,0
"14241",7,3179,0,0
"14242",7,8,0,0
"14243",7,56,0,0
"14244",7,52,0,0
"14245",7,11,0,0
"14246",7,3934,0,0
"14247",7,26,0,0
"14248",7,5,0,0
"14249",7,444,0,0
"14250",7,2,0,0
"14251",7,68,0,0
"14252",7,16,0,0
"14253",7,1372,0,0
"14254",7,19,0,0
"14255",7,60,0,0
"14256",7,3,0,0
"14257",7,38,0,0
"14258",7,81,0,0
"14259",7,155,0,0
"14260",7,190,0,0
"14261",7,74,0,0
"14262",7,52,0,0
"14263",7,88,0,0
"14264",7,30,0,0
"14265",7,839,0,0
"14266",7,10365,0,0
"14267",7,3060,0,0
"14268",7,3489,0,0
"14269",7,5,0,0
"14270",7,45,0,0
"14271",7,331,0,0
"14272",7,7,0,0
"14273",7,1182,0,0
"14274",7,25,0,0
"14275",7,598,0,0
"14276",7,164,0,0
"14277",7,60,0,0
"14278",7,32,0,0
"14279",7,1389,0,0
"14280",7,446,0,0
"14281",7,57,0,0
"14282",7,3,0,0
"14283",7,227,0,0
"14284",7,8,0,0
"14285",7,5,0,0
"14286",7,7,0,0
"14287",7,120,0,0
"14288",7,2,0,0
"14289",7,394,0,0
"14290",7,12,0,0
"14291",7,76,0,0
"14292",7,741,0,0
"14293",7,2029,0,0
"14294",7,14439,0,0
"14295",7,42,0,0
"14296",7,0,0,NA
"14297",7,14,0,0
"14298",7,32,0,0
"14299",7,5,0,0
"14300",7,47,0,0
"14301",7,5,0,0
"14302",7,328,0,0
"14303",7,16,0,0
"14304",7,1250,0,0
"14305",7,119,0,0
"14306",7,1201,0,0
"14307",7,5,0,0
"14308",7,289,0,0
"14309",7,936,0,0
"14310",7,14,0,0
"14311",7,75,0,0
"14312",7,50,0,0
"14313",7,108,0,0
"14314",8,10,66,6.6
"14315",8,334,31,0.09
"14316",8,1095,120,0.11
"14317",8,5,21,4.2
"14318",8,7,31,4.43
"14319",8,138,6,0.04
"14320",8,183,12,0.07
"14321",8,10,6,0.6
"14322",8,121,65,0.54
"14323",8,288,15,0.05
"14324",8,108,43,0.4
"14325",8,72,40,0.56
"14326",8,22,13,0.59
"14327",8,40,20,0.5
"14328",8,30,12,0.4
"14329",8,120,172,1.43
"14330",8,44,128,2.91
"14331",8,123,237,1.93
"14332",8,656,58,0.09
"14333",8,6,5,0.83
"14334",8,191,13,0.07
"14335",8,19,8,0.42
"14336",8,152,8,0.05
"14337",8,10,10,1
"14338",8,16,14,0.88
"14339",8,135,13,0.1
"14340",8,23,83,3.61
"14341",8,3,8,2.67
"14342",8,5,3,0.6
"14343",8,43,11,0.26
"14344",8,68,2,0.03
"14345",8,468,37,0.08
"14346",8,116,7,0.06
"14347",8,112,12,0.11
"14348",8,136,14,0.1
"14349",8,185,53,0.29
"14350",8,33,9,0.27
"14351",8,30,46,1.53
"14352",8,152,7,0.05
"14353",8,27,6,0.22
"14354",8,231,18,0.08
"14355",8,33,8,0.24
"14356",8,8,14,1.75
"14357",8,180,125,0.69
"14358",8,17,7,0.41
"14359",8,109,220,2.02
"14360",8,313,9,0.03
"14361",8,11,9,0.82
"14362",8,184,8,0.04
"14363",8,141,52,0.37
"14364",8,32,43,1.34
"14365",8,5,30,6
"14366",8,17,81,4.76
"14367",8,50,9,0.18
"14368",8,478,9,0.02
"14369",8,122,32,0.26
"14370",8,26,55,2.12
"14371",8,18,10,0.56
"14372",8,156,13,0.08
"14373",8,15,4,0.27
"14374",8,210,3,0.01
"14375",8,66,6,0.09
"14376",8,37,55,1.49
"14377",8,9,5,0.56
"14378",8,25,31,1.24
"14379",8,150,34,0.23
"14380",8,69,12,0.17
"14381",8,82,54,0.66
"14382",8,9,82,9.11
"14383",8,305,44,0.14
"14384",8,9,19,2.11
"14385",8,145,6,0.04
"14386",8,32,18,0.56
"14387",8,33,3,0.09
"14388",8,19,3,0.16
"14389",8,41,27,0.66
"14390",8,12,138,11.5
"14391",8,368,4,0.01
"14392",8,124,9,0.07
"14393",8,441,6,0.01
"14394",8,131,3,0.02
"14395",8,313,55,0.18
"14396",8,66,5,0.08
"14397",8,8,27,3.38
"14398",8,122,12,0.1
"14399",8,13,12,0.92
"14400",8,57,40,0.7
"14401",8,32,6,0.19
"14402",8,196,5,0.03
"14403",8,40,31,0.78
"14404",8,66,8,0.12
"14405",8,15,1,0.07
"14406",8,31,6,0.19
"14407",8,41,7,0.17
"14408",8,44,26,0.59
"14409",8,76,7,0.09
"14410",8,11,65,5.91
"14411",8,10,61,6.1
"14412",8,21,11,0.52
"14413",8,24,8,0.33
"14414",8,288,81,0.28
"14415",8,7,6,0.86
"14416",8,18,99,5.5
"14417",8,11,5,0.45
"14418",8,5,5,1
"14419",8,63,35,0.56
"14420",8,22,13,0.59
"14421",8,47,93,1.98
"14422",8,169,38,0.22
"14423",8,316,77,0.24
"14424",8,11,118,10.73
"14425",8,24,26,1.08
"14426",8,48,12,0.25
"14427",8,57,4,0.07
"14428",8,332,33,0.1
"14429",8,16,15,0.94
"14430",8,126,127,1.01
"14431",8,413,13,0.03
"14432",8,345,29,0.08
"14433",8,62,6,0.1
"14434",8,156,54,0.35
"14435",8,73,17,0.23
"14436",8,74,83,1.12
"14437",8,19,3,0.16
"14438",8,27,16,0.59
"14439",8,118,24,0.2
"14440",8,45,381,8.47
"14441",8,18,45,2.5
"14442",8,52,12,0.23
"14443",8,10,70,7
"14444",8,54,15,0.28
"14445",8,109,4,0.04
"14446",8,40,10,0.25
"14447",8,491,14,0.03
"14448",8,201,8,0.04
"14449",8,85,23,0.27
"14450",8,61,85,1.39
"14451",8,20,9,0.45
"14452",8,75,20,0.27
"14453",8,510,5,0.01
"14454",8,106,82,0.77
"14455",8,3,4,1.33
"14456",8,54,37,0.69
"14457",8,225,38,0.17
"14458",8,34,90,2.65
"14459",8,37,41,1.11
"14460",8,1825,5,0
"14461",8,48,35,0.73
"14462",8,40,6,0.15
"14463",8,57,5,0.09
"14464",8,4,10,2.5
"14465",8,57,6,0.11
"14466",8,43,9,0.21
"14467",8,17,5,0.29
"14468",8,246,17,0.07
"14469",8,26,80,3.08
"14470",8,15,15,1
"14471",8,5,13,2.6
"14472",8,287,28,0.1
"14473",8,224,5,0.02
"14474",8,17,18,1.06
"14475",8,24,187,7.79
"14476",8,160,5,0.03
"14477",8,78,4,0.05
"14478",8,14,18,1.29
"14479",8,8,60,7.5
"14480",8,221,115,0.52
"14481",8,12,5,0.42
"14482",8,61,7,0.11
"14483",8,79,13,0.16
"14484",8,195,74,0.38
"14485",8,71,34,0.48
"14486",8,8,30,3.75
"14487",8,227,15,0.07
"14488",8,6,13,2.17
"14489",8,17,11,0.65
"14490",8,36,101,2.81
"14491",8,134,23,0.17
"14492",8,17,27,1.59
"14493",8,21,5,0.24
"14494",8,51,78,1.53
"14495",8,111,11,0.1
"14496",8,15,41,2.73
"14497",8,109,108,0.99
"14498",8,27,4,0.15
"14499",8,9,4,0.44
"14500",8,25,17,0.68
"14501",8,13,28,2.15
"14502",8,38,1,0.03
"14503",8,7,199,28.43
"14504",8,19,8,0.42
"14505",8,6,16,2.67
"14506",8,107,44,0.41
"14507",8,330,5,0.02
"14508",8,355,7,0.02
"14509",8,22,10,0.45
"14510",8,21,48,2.29
"14511",8,22,7,0.32
"14512",8,8,11,1.38
"14513",8,9,3,0.33
"14514",8,35,7,0.2
"14515",8,648,13,0.02
"14516",8,311,3,0.01
"14517",8,337,10,0.03
"14518",8,129,32,0.25
"14519",8,90,1,0.01
"14520",8,24,9,0.38
"14521",8,189,47,0.25
"14522",8,70,103,1.47
"14523",8,311,32,0.1
"14524",8,353,3,0.01
"14525",8,1560,24,0.02
"14526",8,42,122,2.9
"14527",8,11,7,0.64
"14528",8,7,22,3.14
"14529",8,21,18,0.86
"14530",8,6,22,3.67
"14531",8,5,9,1.8
"14532",8,62,317,5.11
